auxk,dead,fixed_validation_nmse,l0,learning_rate,loss,mse,mse_per_dimension,reconstruction_mse,reconstruction_mse_per_dimension,step,threshold
0.0,0.0,0.29007405042648315,20.0,0.00025529999999999997,694.8834228515625,694.8834228515625,0.1357194185256958,694.8834228515625,0.1357194185256958,851.0,-1.0
0.0,0.0,0.28764235973358154,20.0,0.00027029999999999996,676.9411010742188,676.9411010742188,0.13221505880355836,676.9411010742188,0.13221505880355836,901.0,-1.0
0.0,0.0,0.2867691218852997,20.0,0.00028529999999999994,646.4093017578125,646.4093017578125,0.12625181674957275,646.4093017578125,0.12625181674957275,951.0,-1.0
0.0,0.0,0.2847764492034912,20.0,0.0003,643.3217163085938,643.3217163085938,0.12564877271652222,643.3217163085938,0.12564877271652222,1001.0,-1.0
0.0,0.0,0.27022790908813477,20.0,0.0003,608.0682373046875,608.0682373046875,0.11876332759857178,608.0682373046875,0.11876332759857178,1051.0,3.7668566703796387
0.0,0.0,0.26832422614097595,20.0,0.0003,583.3031005859375,583.3031005859375,0.11392638683319092,583.3031005859375,0.11392638683319092,1101.0,3.76101016998291
0.0,0.0,0.2656116187572479,20.0,0.0003,569.70751953125,569.70751953125,0.11127099990844727,569.70751953125,0.11127099990844727,1151.0,3.750990390777588
0.0,0.0,0.26276931166648865,20.0,0.0003,532.6746826171875,532.6746826171875,0.10403802394866943,532.6746826171875,0.10403802394866943,1201.0,3.737332820892334
0.0,0.0,0.26139315962791443,20.0,0.0003,531.546142578125,531.546142578125,0.10381760597229003,531.546142578125,0.10381760597229003,1251.0,3.720466375350952
0.0,0.0,0.2595839500427246,20.0,0.0003,518.91796875,518.91796875,0.10135116577148437,518.91796875,0.10135116577148437,1301.0,3.700402021408081
0.0,0.0,0.2590978443622589,20.0,0.0003,512.1317138671875,512.1317138671875,0.10002572536468506,512.1317138671875,0.10002572536468506,1351.0,3.6778199672698975
0.0,0.0,0.25744104385375977,20.0,0.0003,491.13018798828125,491.13018798828125,0.09592386484146118,491.13018798828125,0.09592386484146118,1401.0,3.6527342796325684
0.0,0.0,0.256297767162323,20.0,0.0003,470.0886535644531,470.0886535644531,0.09181419014930725,470.0886535644531,0.09181419014930725,1451.0,3.6254642009735107
0.0,0.0,0.25474998354911804,20.0,0.0003,478.48846435546875,478.48846435546875,0.09345477819442749,478.48846435546875,0.09345477819442749,1501.0,3.5961077213287354
0.0,0.0,0.25366589426994324,20.0,0.0003,464.77569580078125,464.77569580078125,0.09077650308609009,464.77569580078125,0.09077650308609009,1551.0,3.564924716949463
0.0,0.0,0.2532336115837097,20.0,0.0003,469.615234375,469.615234375,0.09172172546386718,469.615234375,0.09172172546386718,1601.0,3.532026529312134
0.0,0.0,0.25230884552001953,20.0,0.0003,453.0301513671875,453.0301513671875,0.0884824514389038,453.0301513671875,0.0884824514389038,1651.0,3.4981467723846436
0.0,0.0,0.25217875838279724,20.0,0.0003,439.6429443359375,439.6429443359375,0.08586776256561279,439.6429443359375,0.08586776256561279,1701.0,3.4633829593658447
0.0,0.0,0.25143513083457947,20.0,0.0003,413.13409423828125,413.13409423828125,0.08069025278091431,413.13409423828125,0.08069025278091431,1751.0,3.4272007942199707
0.0,0.0,0.2510722577571869,20.0,0.0003,435.266845703125,435.266845703125,0.0850130558013916,435.266845703125,0.0850130558013916,1801.0,3.3887336254119873
0.0,0.0,0.24959838390350342,20.0,0.0003,413.26837158203125,413.26837158203125,0.08071647882461548,413.26837158203125,0.08071647882461548,1851.0,3.3478097915649414
0.0,0.0,0.24938029050827026,20.0,0.0003,415.99169921875,415.99169921875,0.08124837875366211,415.99169921875,0.08124837875366211,1901.0,3.304503917694092
