auxk,dead,fixed_validation_nmse,l0,learning_rate,loss,mse,mse_per_dimension,reconstruction_mse,reconstruction_mse_per_dimension,step,temp,threshold
0.0,0.0,0.2778880298137665,20.0,0.00025529999999999997,1735.2276611328125,1700.0728759765625,0.33204548358917235,679.62255859375,0.1327387809753418,851.0,351.5478515625,-1.0
0.0,0.0,0.2754046320915222,20.0,0.00027029999999999996,1685.9710693359375,1649.4486083984375,0.32215793132781984,641.3399658203125,0.12526171207427977,901.0,365.224609375,-1.0
0.0,0.0,0.27370786666870117,20.0,0.00028529999999999994,1641.0667724609375,1604.8154296875,0.31344051361083985,624.4216918945312,0.12195736169815063,951.0,362.5133056640625,-1.0
0.0,0.0,0.2724742293357849,20.0,0.0003,1563.7579345703125,1525.188232421875,0.29788832664489745,582.7767333984375,0.11382358074188233,1001.0,385.69659423828125,-1.0
0.0,0.0,0.2663600444793701,20.0,0.0003,1529.6627197265625,1493.726806640625,0.29174351692199707,562.1611328125,0.10979709625244141,1051.0,359.3594970703125,3.514073371887207
0.0,0.0,0.2643086612224579,20.0,0.0003,1532.72998046875,1496.4326171875,0.2922719955444336,553.09423828125,0.10802621841430664,1101.0,362.9735107421875,3.5101537704467773
0.0,0.0,0.2620779871940613,20.0,0.0003,1466.6075439453125,1432.998046875,0.27988243103027344,528.822998046875,0.10328574180603027,1151.0,336.09515380859375,3.503960371017456
0.0,0.0,0.2608093023300171,20.0,0.0003,1437.701904296875,1401.8033447265625,0.27378971576690675,498.375732421875,0.09733901023864747,1201.0,358.98614501953125,3.4951910972595215
0.0,0.0,0.2596176862716675,20.0,0.0003,1411.80029296875,1379.8072509765625,0.2694936037063599,488.0801696777344,0.0953281581401825,1251.0,319.930908203125,3.4839515686035156
0.0,0.0,0.25879159569740295,20.0,0.0003,1401.514404296875,1365.00390625,0.2666023254394531,484.272216796875,0.09458441734313965,1301.0,365.10467529296875,3.4706478118896484
0.0,0.0,0.2577068507671356,20.0,0.0003,1380.5079345703125,1345.264404296875,0.2627469539642334,474.1322021484375,0.0926039457321167,1351.0,352.43505859375,3.455615758895874
0.0,0.0,0.25769397616386414,20.0,0.0003,1368.681884765625,1332.161376953125,0.26018776893615725,484.8189697265625,0.09469120502471924,1401.0,365.204833984375,3.4390296936035156
0.0,0.0,0.2567910850048065,20.0,0.0003,1372.853515625,1334.87890625,0.26071853637695314,484.6461181640625,0.09465744495391845,1451.0,379.74627685546875,3.4209506511688232
0.0,0.0,0.2566141188144684,20.0,0.0003,1314.9102783203125,1280.1888427734375,0.250036883354187,460.1015930175781,0.08986359238624572,1501.0,347.2147216796875,3.401520252227783
0.0,0.0,0.255834698677063,20.0,0.0003,1298.65283203125,1265.265380859375,0.24712214469909669,437.1229553222656,0.08537557721138,1551.0,333.8739013671875,3.3809213638305664
0.0,0.0,0.2549392879009247,20.0,0.0003,1324.090087890625,1288.9820556640625,0.25175430774688723,437.6076354980469,0.08547024130821228,1601.0,351.08056640625,3.3591794967651367
0.0,0.0,0.25475865602493286,20.0,0.0003,1305.1402587890625,1269.4893798828125,0.2479471445083618,450.5091552734375,0.08799006938934326,1651.0,356.5082702636719,3.3365323543548584
0.0,0.0,0.2546219825744629,20.0,0.0003,1290.51611328125,1257.5694580078125,0.24561903476715088,426.4814453125,0.08329715728759765,1701.0,329.46649169921875,3.3130431175231934
