auxk,dead,fixed_validation_nmse,l0,learning_rate,loss,mse,mse_per_dimension,reconstruction_mse,reconstruction_mse_per_dimension,step,threshold
0.0,0.0,0.4624640941619873,20.0,0.00028529999999999994,2154.96044921875,2154.96044921875,0.42089071273803713,2154.96044921875,0.42089071273803713,951.0,-1.0
0.0,0.0,0.45901158452033997,20.0,0.0003,2166.99462890625,2166.99462890625,0.42324113845825195,2166.99462890625,0.42324113845825195,1001.0,-1.0
0.0,0.0,0.4600050449371338,20.0,0.0003,2046.2864990234375,2046.2864990234375,0.3996653318405151,2046.2864990234375,0.3996653318405151,1051.0,4.977431774139404
0.0,0.0,0.45902225375175476,20.0,0.0003,2101.145751953125,2101.145751953125,0.41038002967834475,2101.145751953125,0.41038002967834475,1101.0,4.986706733703613
0.0,0.0,0.4549521207809448,20.0,0.0003,2079.83740234375,2079.83740234375,0.4062182426452637,2079.83740234375,0.4062182426452637,1151.0,4.9920525550842285
0.0,0.0,0.4522692561149597,20.0,0.0003,1991.071533203125,1991.071533203125,0.38888115882873536,1991.071533203125,0.38888115882873536,1201.0,5.008320331573486
0.0,0.0,0.4561227262020111,20.0,0.0003,2010.4853515625,2010.4853515625,0.3926729202270508,2010.4853515625,0.3926729202270508,1251.0,5.005885124206543
0.0,0.0,0.4492990970611572,20.0,0.0003,1995.1832275390625,1995.1832275390625,0.38968422412872317,1995.1832275390625,0.38968422412872317,1301.0,5.006218910217285
0.0,0.0,0.44749197363853455,20.0,0.0003,1971.9735107421875,1971.9735107421875,0.3851510763168335,1971.9735107421875,0.3851510763168335,1351.0,5.003106594085693
0.0,0.0,0.45058104395866394,20.0,0.0003,1963.4930419921875,1963.4930419921875,0.3834947347640991,1963.4930419921875,0.3834947347640991,1401.0,5.013946533203125
0.0,0.0,0.44937917590141296,20.0,0.0003,1945.35693359375,1945.35693359375,0.3799525260925293,1945.35693359375,0.3799525260925293,1451.0,5.011929035186768
0.0,0.0,0.4443860352039337,20.0,0.0003,1979.2969970703125,1979.2969970703125,0.38658144474029543,1979.2969970703125,0.38658144474029543,1501.0,5.009225368499756
0.0,0.0,0.4469584822654724,20.0,0.0003,1925.576171875,1925.576171875,0.37608909606933594,1925.576171875,0.37608909606933594,1551.0,4.997877597808838
0.0,0.0,0.4499865770339966,20.0,0.0003,1921.770751953125,1921.770751953125,0.37534584999084475,1921.770751953125,0.37534584999084475,1601.0,4.989607334136963
0.0,0.0,0.447904497385025,20.0,0.0003,1901.3785400390625,1901.3785400390625,0.3713629961013794,1901.3785400390625,0.3713629961013794,1651.0,4.981125831604004
0.0,0.0,0.4454357624053955,20.0,0.0003,1957.5869140625,1957.5869140625,0.382341194152832,1957.5869140625,0.382341194152832,1701.0,4.9654927253723145
0.0,0.0,0.4448668658733368,20.0,0.0003,1877.9554443359375,1877.9554443359375,0.3667881727218628,1877.9554443359375,0.3667881727218628,1751.0,4.950300693511963
0.0,0.0,0.44199714064598083,20.0,0.0003,1878.97802734375,1878.97802734375,0.3669878959655762,1878.97802734375,0.3669878959655762,1801.0,4.937121868133545
0.0,0.0,0.4440253674983978,20.0,0.0003,1952.4111328125,1952.4111328125,0.3813302993774414,1952.4111328125,0.3813302993774414,1851.0,4.924348831176758
