window,horizon,target,model,alpha,validation_r2,n_train,n_validation,n_test,r2,rmse,breach_auprc,breach_prevalence
8,2,future_delta,txc,10000.0,-0.17864530924123367,1440,480,480,-0.23241126537322998,4.201379299163818,nan,nan
8,2,future_min,sae_plus_txc,10000.0,0.7226505983945298,1440,480,480,0.727265477180481,4.332943439483643,nan,1.0
8,2,future_delta,sae_plus_txc,10000.0,-0.07506763042436382,1440,480,480,-0.12801635265350342,4.019497394561768,nan,nan
8,2,future_min,tsae_plus_txc,10000.0,0.7223836828248036,1440,480,480,0.7350003123283386,4.271059989929199,nan,1.0
8,2,future_delta,tsae_plus_txc,10000.0,-0.06609071429068147,1440,480,480,-0.10025739669799805,3.9697322845458984,nan,nan
8,4,future_min,axis_only,10.0,0.8625691861208908,960,320,320,0.8316162824630737,3.4532947540283203,nan,1.0
8,4,future_delta,axis_only,0.0001,-0.000693311219278181,960,320,320,0.0012549161911010742,4.047230243682861,nan,nan
8,4,future_min,axis_position,1.0,0.907673862674556,960,320,320,0.889891505241394,2.7925052642822266,nan,1.0
8,4,future_delta,axis_position,10.0,0.18737039133816813,960,320,320,0.2753790020942688,3.447355031967163,nan,nan
8,4,future_min,user_axis,100.0,0.8562860857185352,960,320,320,0.824989378452301,3.5205929279327393,nan,1.0
8,4,future_delta,user_axis,1000.0,0.047225910639389856,960,320,320,0.0710289478302002,3.9032974243164062,nan,nan
8,4,future_min,raw_local,1000.0,0.9075625166777772,960,320,320,0.9024443626403809,2.6285104751586914,nan,1.0
8,4,future_delta,raw_local,10000.0,0.24237268108871823,960,320,320,0.2701486349105835,3.4597742557525635,nan,nan
8,4,future_min,raw_history,10000.0,0.914568084717954,960,320,320,0.9039375185966492,2.6083178520202637,nan,1.0
8,4,future_delta,raw_history,10000.0,0.07375179154211087,960,320,320,0.23228436708450317,3.5483851432800293,nan,nan
8,4,future_min,sae,1000.0,0.8613209175958504,960,320,320,0.8464522361755371,3.2976555824279785,nan,1.0
8,4,future_delta,sae,10000.0,0.07280603920758288,960,320,320,0.13161027431488037,3.773878574371338,nan,nan
8,4,future_min,tsae,1000.0,0.8634668652719413,960,320,320,0.8512969017028809,3.245216131210327,nan,1.0
8,4,future_delta,tsae,1000.0,0.09356054948362658,960,320,320,0.1542842984199524,3.7242836952209473,nan,nan
8,4,future_min,txc,10000.0,0.6958053878591128,960,320,320,0.7024602890014648,4.590458393096924,nan,1.0
8,4,future_delta,txc,10000.0,-0.13857983109765026,960,320,320,-0.13700151443481445,4.3182830810546875,nan,nan
8,4,future_min,sae_plus_txc,10000.0,0.7589995750773395,960,320,320,0.7683908343315125,4.050060272216797,nan,1.0
8,4,future_delta,sae_plus_txc,10000.0,-0.04644349659646707,960,320,320,-0.029804348945617676,4.109679222106934,nan,nan
8,4,future_min,tsae_plus_txc,10000.0,0.7579899737303001,960,320,320,0.7664015889167786,4.067415237426758,nan,1.0
8,4,future_delta,tsae_plus_txc,10000.0,-0.0491910474517363,960,320,320,-0.04375457763671875,4.137421607971191,nan,nan
8,4,future_min,past_user_axis,10000.0,0.8879897681455469,960,320,320,0.8681963682174683,3.055253505706787,nan,1.0
8,4,future_delta,past_user_axis,10000.0,-0.025189986643041173,960,320,320,0.09141457080841064,3.8602325916290283,nan,nan
8,4,future_min,future_user_oracle,10000.0,0.8928000658765152,960,320,320,0.8777161836624146,2.94284987449646,nan,1.0
8,4,future_delta,future_user_oracle,10000.0,0.008590126894084449,960,320,320,0.14484256505966187,3.7450153827667236,nan,nan
8,4,future_min,raw_local_user_history,10000.0,0.9094050157941004,960,320,320,0.8969487547874451,2.7015328407287598,nan,1.0
8,4,future_delta,raw_local_user_history,10000.0,0.188843396877861,960,320,320,0.2665741443634033,3.468236207962036,nan,nan
8,4,future_min,raw_history_user_history,10000.0,0.914762353548834,960,320,320,0.9043791890144348,2.6023149490356445,nan,1.0
8,4,future_delta,raw_history_user_history,10000.0,0.056620016900489345,960,320,320,0.22460198402404785,3.5660948753356934,nan,nan
8,4,future_min,sae_user_history,10000.0,0.8903645027427174,960,320,320,0.8722596168518066,3.007791757583618,nan,1.0
8,4,future_delta,sae_user_history,10000.0,0.012463581994923034,960,320,320,0.12791436910629272,3.7819008827209473,nan,nan
8,4,future_min,sae_plus_txc_user_history,10000.0,0.8674805999549008,960,320,320,0.8565035462379456,3.1878960132598877,nan,1.0
8,4,future_delta,sae_plus_txc_user_history,10000.0,-0.07275419175851261,960,320,320,0.01577937602996826,4.017693519592285,nan,nan
