target,datasource,target_kind,tile_size,power_full_score_mean,power_full_fold_std_mean,power_full_null_mean,power_full_chance_mean,power_ac_score_mean,power_ac_fold_std_mean,power_ac_null_mean,power_ac_chance_mean,cross_full_score_mean,cross_full_fold_std_mean,cross_full_null_mean,cross_full_chance_mean,cross_ac_score_mean,cross_ac_fold_std_mean,cross_ac_null_mean,cross_ac_chance_mean,dc_vector_score_mean,dc_vector_fold_std_mean,dc_vector_null_mean,dc_vector_chance_mean,power_full_score_seed_std,power_ac_score_seed_std,cross_full_score_seed_std,cross_ac_score_seed_std,dc_vector_score_seed_std
phasepair_sign,toy_phasepair_M101_d24,classification,16,0.5067321050539301,0.0547821919463054,0.49795282231394467,0.5,0.49327675761839035,0.051598853167663876,0.5305449900529103,0.5,0.9938992555394034,0.006807314122500091,0.5040091996247328,0.5,0.9656879580140164,0.015859338376038937,0.5133480345342875,0.5,0.5190857152755622,0.03173470632138902,0.4790436970730305,0.5,0.021470731253900324,0.0336705041979612,0.007102697754609759,0.006954375839271389,0.04430776605670422
phasepair_sign,toy_phasepair_M101_d24,classification,32,0.5200434305035809,0.05765614498115006,0.4705362030979649,0.5,0.517056093500028,0.05359834282881879,0.47381427308950036,0.5,0.9842288658126582,0.011431467045894624,0.5122226262672559,0.5,0.9838669766890792,0.006882804492131365,0.503764952670155,0.5,0.49646583988040166,0.04539779507137757,0.5157834213470434,0.5,0.013403957568181461,0.016135151051388186,0.005737833022364372,0.010926827842462425,0.02296194573976152
recipe_equality,toy_recipe_instruction_d64,classification,4,0.5910612116997552,0.039417657242215895,0.5159807394218658,0.5,0.6863168173363712,0.042521410937477584,0.5139877195940808,0.5,0.5511950757672871,0.04245711480779701,0.5069058887600313,0.5,0.6549458214494099,0.046263498253608516,0.5166529268337171,0.5,0.5971306528462659,0.03617155092974103,0.514999446483271,0.5,0.02720911616589812,0.02159233433812206,0.04372818508029696,0.02593045683812398,0.012912893649327349
recipe_equality,toy_recipe_instruction_d64,classification,8,0.5403709458224942,0.04765120899252077,0.49971081503647846,0.5,0.5522198152646324,0.04070836695244813,0.5072271334850127,0.5,0.5199672774622868,0.0439385519400081,0.4968023567231758,0.5,0.5137696403449366,0.0454135969978148,0.5072289443624597,0.5,0.5748081269327321,0.056921876598149464,0.46045175829175305,0.5,0.016097442035828823,0.025725010538850884,0.006813144261276589,0.02963977804032126,0.02395533202812868
recipe_equality,toy_recipe_instruction_d64,classification,16,0.5499249140609083,0.03948316177352069,0.5065900018214081,0.5,0.5476638838890177,0.03696787927457532,0.5200478621860554,0.5,0.5285003932459895,0.0506244485370339,0.5062733271524382,0.5,0.5141824624087327,0.048719389512348034,0.5267979887939044,0.5,0.5558370808833653,0.056373713219060755,0.5158654281811367,0.5,0.009302279367408944,0.022989797207974293,0.012880693780300354,0.02104056410914041,0.025484529917745854
recipe_equality,toy_recipe_instruction_d64,classification,32,0.48367286517605024,0.05499259309745088,0.5120644689852175,0.5,0.47979636342358706,0.04818277430406598,0.5012486633060953,0.5,0.46335629300660913,0.02642771800271176,0.504476967605012,0.5,0.48611099187314255,0.02867551040502631,0.5037412276213962,0.5,0.5624719641401711,0.04831362427847397,0.4941589251150316,0.5,0.030047803973201406,0.014730512899679589,0.03433335121932408,0.04038120401786546,0.01010521384886349
signed_motion_sign,toy_signed_motion_M19_d40,classification,4,0.4934786106024413,0.03335464200201126,0.5127893028512404,0.5,0.49269045251815724,0.04373738829507129,0.505700434406269,0.5,0.8115230046219423,0.0334857176747659,0.48539826667032365,0.5,0.933136682077013,0.020611543985387455,0.47996940206994365,0.5,0.495929579701579,0.04424438334123066,0.4830153965217476,0.5,0.0171537541639347,0.02716723721836169,0.019007206460428448,0.04160977302175287,0.022085132117770963
signed_motion_sign,toy_signed_motion_M19_d40,classification,8,0.5141219235638136,0.03142354560300368,0.5209581657403031,0.5,0.5159912430273406,0.03302218722122077,0.4950170093526494,0.5,0.9791603821015586,0.015983355424802382,0.4814882605447748,0.5,1.0,0.0,0.4897513666949183,0.5,0.5062409138250795,0.029349379557469375,0.4980840574614265,0.5,0.019822139798714944,0.029273862299890444,0.03609527701042229,0.0,0.03829040691641653
signed_motion_sign,toy_signed_motion_M19_d40,classification,16,0.5241985527210938,0.024134403958088593,0.5226314023524975,0.5,0.5196257081556485,0.021745557302231208,0.5175680607989216,0.5,1.0,0.0,0.4893066339992424,0.5,1.0,0.0,0.489215464062913,0.5,0.5067730306657953,0.02856832640510334,0.5378541110187218,0.5,0.021470608089908444,0.028850345521304648,0.0,0.0,0.0341551828437194
signed_motion_sign,toy_signed_motion_M19_d40,classification,32,0.504879737198325,0.030467559053631132,0.49398788206678795,0.5,0.5012452123783449,0.03126664095613519,0.4979055397972914,0.5,1.0,0.0,0.4914103662573319,0.5,1.0,0.0,0.49245178962594033,0.5,0.5105649597365152,0.035340142189121036,0.5067828746150497,0.5,0.04697151184297788,0.06908026884964859,0.0,0.0,0.03865041613849724
