target,datasource,target_kind,seed,tile_size,power_full_score,dc_vector_score,power_ac_score,power_ac_std,power_ac_null,cross_ac_score,cross_ac_std,cross_ac_null,dc_gain,phase_gain
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,1,16,-0.1603903707006984,0.16348955308468843,0.00875435086588825,0.08414261335716615,-0.1847181363415557,-4.6576315200842355,0.7451019294995539,-6.6853580538874535,0.1547352022188002,-4.666385870950124
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,1,32,-0.6424799626527407,0.010173746753625479,-0.6104458573129897,0.32783588531960284,-0.5501602727927356,-1.5761661594527783,0.7820630125055468,-1.471275492057292,0.6206196040666152,-0.9657203021397885
changepoint_mode,toy_changepoint_modes_d64,classification,1,4,0.287990342990343,0.4372086247086247,0.2796253746253746,0.06124101692321326,0.12173378908673024,0.25697094572094575,0.04460008600420983,0.11020802726685079,0.15758325008325008,-0.02265442890442887
changepoint_mode,toy_changepoint_modes_d64,classification,1,8,0.10191225441225442,0.31763486513486516,0.13122960372960374,0.025573835024185285,0.13095326489386086,0.11580544455544457,0.05294305531137612,0.12048543808702476,0.18640526140526142,-0.015424159174159166
changepoint_mode,toy_changepoint_modes_d64,classification,1,16,0.1396249583749584,0.26048992673992677,0.15041375291375295,0.043430415873567135,0.11834353597898488,0.1048118548118548,0.02744993060270545,0.08993648143222448,0.11007617382617382,-0.045601898101898145
changepoint_mode,toy_changepoint_modes_d64,classification,1,32,0.10981060606060607,0.2159200174825175,0.10756764069264071,0.03565918396562615,0.13858125405726024,0.13107444638694637,0.02547189918139081,0.12312454229636893,0.10835237678987678,0.02350680569430566
changepoint_tss,toy_changepoint_modes_d64,regression,1,4,-0.03011343821160397,-0.07197941972338398,0.40026890802140686,0.1685300891866186,-0.04527916326316359,0.20816502202333842,0.23924854364284986,-0.3358648066301915,-0.47224832774479086,-0.19210388599806844
changepoint_tss,toy_changepoint_modes_d64,regression,1,8,-0.11437417686783549,-0.06396569726172752,-0.221768501291977,0.14678021718077278,-0.11848869588827764,-1.4836882057295782,0.5729017192790584,-1.1789212461018312,0.1578028040302495,-1.2619197044376012
changepoint_tss,toy_changepoint_modes_d64,regression,1,16,-0.26415125410122503,-0.03803717304872585,-0.20731896220504126,0.1264928595765818,-0.22374360819318037,-4.769915572460761,0.6475411442339692,-7.588478392139455,0.16928178915631542,-4.56259661025572
changepoint_tss,toy_changepoint_modes_d64,regression,1,32,-0.4249590601477502,-0.019040079599401283,-0.3698690038937805,0.14565643315657023,-0.5397848471106872,-1.0638581811988224,0.30413666152426844,-1.3087730297214832,0.35082892429437923,-0.6939891773050418
hedging_confidence,toy_hedging_drift_d64,regression,1,4,-0.014208761408510706,0.28770097458184074,-0.035967880346625306,0.05597305187209077,-0.04028945754291202,-0.4572865256672854,0.16264043147328403,-0.29068570538185945,0.32366885492846603,-0.4213186453206601
hedging_confidence,toy_hedging_drift_d64,regression,1,8,-0.12484235894010257,0.16362979069079295,-0.08913058593967711,0.05207263099280708,-0.1423184593172969,-1.622978785436923,0.3408775150618508,-1.8890107596230805,0.2527603766304701,-1.533848199497246
hedging_confidence,toy_hedging_drift_d64,regression,1,16,-0.27486336733895866,0.10920579886146127,-0.2542748050271288,0.2012825444252718,-0.3213944257440601,-7.548341281942735,1.2154779040709656,-6.127647281477847,0.36348060388859005,-7.294066476915606
hedging_confidence,toy_hedging_drift_d64,regression,1,32,-0.5280741424383567,0.1051077550988763,-0.47742703762500627,0.07761667945076846,-0.5254701823331803,-1.8331156030858697,0.28819088156434214,-1.2126617985366117,0.5825347927238825,-1.3556885654608635
recipe_equality,toy_recipe_instruction_d64,classification,1,4,0.6217745719607422,0.6093262411347518,0.6826852747331471,0.0348584618213046,0.5110627609045468,0.6281040010029371,0.04313652938880538,0.4896065118924535,-0.07335903359839535,-0.054581273730210045
recipe_equality,toy_recipe_instruction_d64,classification,1,8,0.5528619197482298,0.5717112509834775,0.5735424862313139,0.060283198654522745,0.509553668092305,0.5188749016522423,0.05280163863892343,0.49475714087769485,-0.0018312352478363492,-0.054667584579071615
recipe_equality,toy_recipe_instruction_d64,classification,1,16,0.5560797938888961,0.5505768982729489,0.5711055900220556,0.031824695090733414,0.5479290990772491,0.5163025112535631,0.039797371126564465,0.5050912636449323,-0.020528691749106764,-0.05480307876849255
recipe_equality,toy_recipe_instruction_d64,classification,1,32,0.5078117140240679,0.5672027963008345,0.48911209709664527,0.0497903106046599,0.4833651600715364,0.47196024815880105,0.0439878558963915,0.47778983771711925,0.0780906992041892,-0.017151848937844216
assumption_next_state,toy_assumption_consequence_d64,classification,1,4,0.39825130169957756,0.4109342764515178,0.3983559288731703,0.055521708737976974,0.3003434734961992,0.34480204342273313,0.06617184744603269,0.2677841020614998,0.012578347578347526,-0.053553885450437155
assumption_next_state,toy_assumption_consequence_d64,classification,1,8,0.3325112745677262,0.3742307446138091,0.31009994485800935,0.06189088701850123,0.33698284272564144,0.3050912058371736,0.051641745012189384,0.3530768986779268,0.06413079975579977,-0.005008739020835762
assumption_next_state,toy_assumption_consequence_d64,classification,1,16,0.3338415487768936,0.38582688623636896,0.3714414480793791,0.03868686555790413,0.30826205362231895,0.31891252824442484,0.04645569726003868,0.34612094853882863,0.014385438156989838,-0.05252891983495428
assumption_next_state,toy_assumption_consequence_d64,classification,1,32,0.30106837606837605,0.38242521367521365,0.3128525641025641,0.048182248262360984,0.3022563458778039,0.2812553418803419,0.03261725081669481,0.36425574639430924,0.06957264957264953,-0.03159722222222222
frequency_velocity,toy_cyclic_circle_M101_d128,classification,2,4,0.3753372183372183,0.14225130425130422,0.6132900432900433,0.03784755532275903,0.09374164724164726,0.49750799200799206,0.02492135687657177,0.09070010545010546,-0.4710387390387391,-0.11578205128205127
frequency_velocity,toy_cyclic_circle_M101_d128,classification,2,8,0.7056421356421356,0.14149228549228549,0.8444646464646466,0.02016883638250818,0.11790329115329115,0.7046868686868686,0.03528439125879059,0.09072094572094572,-0.702972360972361,-0.139777777777778
frequency_velocity,toy_cyclic_circle_M101_d128,classification,2,16,0.8114141414141415,0.13117216117216116,0.9102020202020202,0.010949932899661558,0.11483707958707959,0.7764444444444443,0.016407442300386942,0.10535608835608834,-0.7790298590298591,-0.13375757575757596
frequency_velocity,toy_cyclic_circle_M101_d128,classification,2,32,0.886888888888889,0.16205866355866355,0.9899999999999999,0.007071067811865442,0.1039037074037074,0.8744242424242424,0.02150511929998344,0.09851359751359752,-0.8279413364413364,-0.11557575757575744
phasepair_pair,toy_phasepair_M101_d24,classification,2,4,0.9640944104914693,0.35429027671674734,0.9882845259315847,0.01280909793035295,0.2985347396158013,0.9357015533486122,0.0289995864283052,0.36481456838809784,-0.6339942492148374,-0.05258297258297251
phasepair_pair,toy_phasepair_M101_d24,classification,2,8,1.0,0.3561447457770987,1.0,0.0,0.29662635852700414,1.0,0.0,0.3328132837322221,-0.6438552542229012,0.0
phasepair_pair,toy_phasepair_M101_d24,classification,2,16,1.0,0.37016361089890504,1.0,0.0,0.3419623913447443,1.0,0.0,0.306292017128459,-0.629836389101095,0.0
phasepair_pair,toy_phasepair_M101_d24,classification,2,32,1.0,0.3463911170528817,1.0,0.0,0.33333256734906663,1.0,0.0,0.34394919123039636,-0.6536088829471183,0.0
phasepair_sign,toy_phasepair_M101_d24,classification,2,4,0.509199550357153,0.490232903611372,0.4810747033210962,0.036995658455197214,0.5326918791678836,0.8169104413899086,0.04048665695467425,0.5057811092000329,0.009158200290275809,0.33583573806881245
phasepair_sign,toy_phasepair_M101_d24,classification,2,8,0.5125030592788639,0.554510088505649,0.47124169725945525,0.04570738977071923,0.5193416466343248,0.8845328552320784,0.042164905631704795,0.551218634681705,0.08326839124619373,0.4132911579726231
phasepair_sign,toy_phasepair_M101_d24,classification,2,16,0.48649711147158425,0.5096538888414581,0.4606392327613193,0.05422295318151646,0.5013596933001563,0.9690305074134153,0.017083856724180738,0.5049976461750525,0.04901465608013883,0.508391274652096
phasepair_sign,toy_phasepair_M101_d24,classification,2,32,0.5133084891431172,0.4741271521671078,0.5114202737698854,0.04466432626961292,0.4632743478672805,0.978611030478955,0.01066630447958225,0.5253982484966714,-0.03729312160277759,0.4671907567090696
permuted_schedule,toy_permuted_circle_M101_d128,classification,2,4,0.11030303030303032,0.09353535353535354,0.12835858585858587,0.019600075715784454,0.09011721611721611,0.13221212121212123,0.017513974407919793,0.11551656676656677,-0.034823232323232325,0.003853535353535359
permuted_schedule,toy_permuted_circle_M101_d128,classification,2,8,0.10595959595959596,0.1296060606060606,0.14694444444444443,0.030564204886514925,0.08041533466533465,0.10938383838383839,0.03837736521706485,0.09387115662115661,-0.01733838383838382,-0.037560606060606044
permuted_schedule,toy_permuted_circle_M101_d128,classification,2,16,0.24429292929292928,0.10464141414141415,0.2500555555555556,0.04403398691200925,0.08817846042846042,0.21498989898989898,0.04019580414229639,0.0799526307026307,-0.14541414141414144,-0.035065656565656605
permuted_schedule,toy_permuted_circle_M101_d128,classification,2,32,0.5984343434343435,0.08515151515151517,0.5837474747474747,0.022478652764776112,0.095246780996781,0.4195656565656566,0.04638136338335745,0.10446842046842046,-0.4985959595959595,-0.1641818181818181
signed_motion_sign,toy_signed_motion_M19_d40,classification,2,4,0.4808823529411764,0.5160256410256411,0.5000754147812971,0.04477595853411337,0.5009643573595515,0.8967571644042233,0.010916924543307623,0.4593759912652497,0.015950226244343946,0.3966817496229261
signed_motion_sign,toy_signed_motion_M19_d40,classification,2,8,0.49193061840120667,0.5194947209653092,0.48220211161387627,0.024636232687169496,0.5062806419746834,1.0,0.0,0.5041603133060092,0.03729260935143297,0.5177978883861237
signed_motion_sign,toy_signed_motion_M19_d40,classification,2,16,0.5000754147812971,0.4687028657616893,0.486500754147813,0.01662367854780469,0.5671458683542758,1.0,0.0,0.5193448498908584,-0.017797888386123728,0.513499245852187
signed_motion_sign,toy_signed_motion_M19_d40,classification,2,32,0.5060708898944193,0.5116138763197586,0.5116138763197586,0.024485717367617323,0.5334140487835504,1.0,0.0,0.5108880333248343,0.0,0.48838612368024137
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,2,4,0.8892559013602609,0.7097397828504537,0.5995791292701412,0.05736411774073158,-0.067529561644404,0.4347096998976003,0.09171713814458808,-0.4553934956280835,0.11016065358031246,-0.16486942937254095
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,2,8,0.06366851493720149,0.4125326773930582,0.1725061223842591,0.2996602634278903,-0.08276697664768214,-0.6156133530956547,0.7441703105696807,-1.4937734712627209,0.2400265550087991,-0.7881194754799138
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,2,16,-0.22843648981412326,0.19354665162925,-0.04504692298797641,0.0846768549993293,-0.24938562817887147,-5.989458010974465,1.9345093945158127,-7.425165355139912,0.2385935746172264,-5.944411087986488
