layer,centering,lag,pair_count,frobenius,frobenius_normalized,operator,nuclear,frobenius_boot_q025,frobenius_boot_q975
8,global,44,2015888,1.6752104635981255,0.3687369693516415,0.9181232744650047,5.877230113659076,0.3637776456773281,0.3776824824512005
8,global,45,2015340,1.6716697755702088,0.367957614995157,0.9159558024165361,5.855742917172425,0.36291018426418303,0.37695575281977656
8,global,46,2014792,1.6684234457651619,0.3672430529506615,0.9137598444257777,5.843687804706029,0.3621872752904892,0.37627558782696724
8,global,47,2014244,1.6655155413482956,0.3666029830101142,0.9115089243419391,5.823408348363805,0.36154566556215284,0.3756903544068336
8,global,48,2013696,1.6624787500978733,0.3659345432966771,0.9092243141874696,5.79500061490945,0.36085533872246744,0.37506014555692674
8,position,0,2040000,7.685187575189347,1.7870305715801982,1.2073154498811645,60.25836887895359,1.7775665163993835,1.7919987797737122
8,position,1,2039452,4.300535031358557,1.0,0.9536982239526987,29.384669268292523,1.0,1.0
8,position,2,2038904,3.0396689269429644,0.7068118047587955,0.8660018517678575,18.850383379693476,0.7048225566744805,0.7113548144698143
8,position,3,2038356,2.4415387421569448,0.5677290672797177,0.8225740814259933,13.827198975717174,0.564666523039341,0.5746311292052269
8,position,4,2037808,2.1289881293872193,0.4950519211826216,0.7943488288942976,11.300287033514206,0.49128408506512644,0.5034652769565582
8,position,5,2037260,1.9306680918172507,0.4489367201381324,0.7737329585355865,9.7129179498158,0.44443451166152953,0.4580894708633423
8,position,6,2036712,1.7960464569300443,0.41763325814896707,0.759011614393754,8.701050011226162,0.41265712678432465,0.4272283300757408
8,position,7,2036164,1.6982186633717553,0.394885438902071,0.7482479842098247,7.99777816695775,0.38946756571531294,0.40465488508343694
8,position,8,2035616,1.61975377276213,0.37664006012071555,0.7386086348722177,7.443260892519649,0.3709793508052826,0.3870494350790977
8,position,9,2035068,1.5557636016039402,0.36176047637320796,0.7305629591345956,6.990222452087531,0.3558461032807827,0.3724414497613907
8,position,10,2034520,1.504522406547143,0.3498454019270849,0.723633882102474,6.6363108695598285,0.343752533942461,0.3607254311442375
8,position,11,2033972,1.4634196585338366,0.34028781253097623,0.7182482126302535,6.350008573675335,0.3340464770793915,0.35134961605072024
8,position,12,2033424,1.4290035916079413,0.3322850717847805,0.7137184105416615,6.1101788854709405,0.32589137479662894,0.34365095272660257
8,position,13,2032876,1.3991832446112134,0.3253509701487551,0.70918298249668,5.903033497102596,0.31879676356911657,0.33684407323598864
8,position,14,2032328,1.373413666155584,0.3193587905088444,0.7051497234704702,5.7334100339620075,0.3125960804522038,0.33112948536872866
8,position,15,2031780,1.3512893058373308,0.3142142305513212,0.7017333501682343,5.592187328721268,0.3073947310447693,0.3261741101741791
8,position,16,2031232,1.3310559289214892,0.3095093794645833,0.6982664411555811,5.457424311048632,0.302591323107481,0.32195561453700067
8,position,17,2030684,1.313851776262865,0.30550891149183684,0.6957440152668768,5.351249907349508,0.29840945079922676,0.318271641433239
8,position,18,2030136,1.2978958826196128,0.30179870019791516,0.6929069093346988,5.242900076287853,0.2947449915111065,0.3148904599249363
8,position,19,2029588,1.2848470182716367,0.29876445812040003,0.6909809921779053,5.15882463434416,0.2916031688451767,0.3120086252689362
8,position,20,2029040,1.2720288657090726,0.2957838632713645,0.6887070489089799,5.079845864748093,0.28851011022925377,0.3092321611940861
8,position,21,2028492,1.2606078809242816,0.29312815073757237,0.6866184218526187,5.0089173169010675,0.28577231243252754,0.30665984451770784
8,position,22,2027944,1.2495464687462023,0.2905560493368346,0.6845271665423098,4.934188315150177,0.282979291677475,0.3041251540184021
8,position,23,2027396,1.2398325885236374,0.28829728847295755,0.6827296242185801,4.882934065270781,0.2805226594209671,0.30193283632397655
8,position,24,2026848,1.2303787636066184,0.28609899806302397,0.6811844067066192,4.816561504276003,0.27851381301879885,0.2998863629996777
8,position,25,2026300,1.2220041265435584,0.2841516503488456,0.6796190160593175,4.761052100276584,0.27646093145012857,0.298091908544302
8,position,26,2025752,1.2146471340937697,0.28244093472947657,0.6781673886182927,4.704559475699117,0.2747947499155998,0.2964711613953114
8,position,27,2025204,1.207130589453933,0.28069311856589985,0.6769254371162116,4.65563366170486,0.2731481596827507,0.29473363757133486
8,position,28,2024656,1.199947169408206,0.27902276359998346,0.6755024964299394,4.611188502695684,0.2715591289103031,0.29309826642274855
8,position,29,2024108,1.193400842044738,0.27750055129018164,0.6740612264234631,4.580018290980544,0.26993724182248113,0.29160995259881023
8,position,30,2023560,1.1868440750502485,0.2759759114612582,0.6726617806755154,4.533687497773228,0.26835343688726426,0.2902858890593052
8,position,31,2023012,1.1811848812253902,0.2746599836095857,0.6711987363580877,4.489706782917291,0.2669255070388317,0.2889389008283615
8,position,32,2022464,1.1760383291491159,0.2734632599371247,0.6702353133585606,4.460284518363295,0.26562283709645274,0.28783837854862215
8,position,33,2021916,1.17120822798889,0.2723401203451889,0.6691161071910788,4.430374905641845,0.26447568386793135,0.2867473989725113
8,position,34,2021368,1.1665080949758468,0.27124720214343706,0.6679339828264826,4.401875937396871,0.2633294939994812,0.2858045481145382
